ID,Project Code,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Lead Time (Days)
5044,116-ZA-T01,SCMS-41080,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-05-26,2009-01-22,22-Jan-09,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,500,1530.0,3.06,0.1,"Aurobindo Unit III, India",No,,,3.0,
5045,116-ZA-T01,SCMS-41140,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-31,2008-11-21,21-Nov-08,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1200,14532.0,12.11,0.4,"Cipla, Goa, India",No,,,28.48,
5046,116-ZA-T01,SCMS-41140,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-31,2008-11-21,21-Nov-08,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,500,8820.0,17.64,0.59,"Aspen-OSD, Port Elizabeth, SA",No,,,17.29,
5047,116-ZA-T01,SCMS-41140,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-31,2008-11-21,21-Nov-08,ARV,Adult,S. BUYS WHOLESALER,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,80,2336.0,29.2,0.97,"Aspen-OSD, Port Elizabeth, SA",No,,,4.58,
5048,116-ZA-T01,SCMS-41150,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-04-01,2008-11-21,21-Nov-08,ARV,Pediatric,S. BUYS WHOLESALER,"Ritonavir 80mg/ml [Norvir], oral solution, cool, Bottle, 90 ml",Ritonavir,Norvir,80mg/ml,Oral solution,90,1,5.97,5.97,0.07,ABBVIE (Abbott) France,Yes,,,0.01,
5049,116-ZA-T01,SCMS-41160,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-04-01,2008-11-26,26-Nov-08,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",Zidovudine,Retrovir,300mg,Tablet,60,500,6555.0,13.11,0.22,GSK Aranda,Yes,,1521.4,12.85,
5050,116-ZA-T01,SCMS-41180,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-04-03,2009-02-11,11-Feb-09,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 20mg [Zerit], capsules, 60 Caps",Stavudine,Zerit,20mg,Capsule,60,300,1179.0,3.93,0.07,"BMS Meymac, France",Yes,,,2.31,
5051,116-ZA-T01,SCMS-41190,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-30,2009-01-21,21-Jan-09,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,80,188.8,2.36,0.08,"MSD Midrand, J'burg, SA",No,,,0.37,
5052,116-ZA-T01,SCMS-41190,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-30,2009-01-21,21-Jan-09,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,28,1578.92,56.39,0.21,Roche Basel,No,,,3.09,
5053,116-ZA-T01,SCMS-41190,South Africa,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,,2009-03-30,2009-01-21,21-Jan-09,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,30,829.5,27.65,0.31,"MSD Midrand, J'burg, SA",No,,,1.63,
