ID,Project Code,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Lead Time (Days)
78714,108-VN-T30,SCMS-164580,Vietnam,PMO - US,Direct Drop,EXW,Air,10/15/12,2012-11-07,2013-04-03,2013-04-03,3-Apr-13,ARV,Adult,HETERO LABS LIMITED,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,327,4218.3,12.9,0.22,Hetero Unit III Hyderabad IN,No,,,5.22,147.0
78715,161-ZA-T30,SCMS-103930,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,2011-03-28,2011-11-23,2011-11-23,23-Nov-11,ARV,Adult,STRIDES ARCOLAB LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,515000,1251450.0,2.43,0.04,"Strides, Bangalore, India.",Yes,23655.0,37401.43,2064.89,240.0
78727,107-RW-T30,SCMS-63651,Rwanda,PMO - US,Direct Drop,FCA,Air,1/6/10,2010-01-20,2010-04-30,2010-04-30,30-Apr-10,ARV,Pediatric,Hoffmann-La Roche ltd Basel,"Nelfinavir 50mg/g [Viracept], oral powder, 144g",Nelfinavir,Viracept,50mg/g,Oral powder,144,148,5429.5,36.69,0.25,Roche Basel,Yes,27.0,1253.71,11.71,100.0
78729,108-VN-T30,SCMS-62470,Vietnam,PMO - US,Direct Drop,EXW,Air,1/4/09,2010-01-12,2010-04-01,2010-04-01,1-Apr-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,16800,43680.0,2.6,0.04,Mylan (formerly Matrix) Nashik,No,,,94.17,79.0
78733,161-ZA-T30,SCMS-103400,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,2011-03-24,2011-11-22,2011-11-22,22-Nov-11,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,9829,71751.7,7.3,0.12,"Aurobindo Unit III, India",Yes,509.0,3341.45,118.39,243.0
78767,102-BI-T30,SCMS-199591,Burundi,PMO - US,Direct Drop,EXW,Air,7/9/13,2013-07-31,2013-11-20,2013-11-20,22-Nov-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1268,101440.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,516.0,9802.95,125.48,112.0
78789,117-ET-T30,SCMS-110050,Ethiopia,PMO - US,Direct Drop,EXW,Air,5/23/11,2011-05-26,2011-07-01,2011-07-01,1-Jul-11,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,100000,624000.0,6.24,0.21,Mylan (formerly Matrix) Nashik,Yes,9565.0,60713.12,1029.6,36.0
78805,108-VN-T30,SCMS-98052,Vietnam,PMO - US,Direct Drop,EXW,Air,1/17/11,2011-02-15,2011-07-27,2011-07-27,27-Jul-11,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1612,10478.0,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,111.0,7457.19,17.29,162.0
78818,109-TZ-T30,SCMS-114990,Tanzania,PMO - US,Direct Drop,EXW,Air,6/24/11,2011-07-18,2011-09-29,2011-10-05,5-Oct-11,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3334.0,22523.12,330.0,79.0
78839,108-VN-T30,SCMS-188651,Vietnam,PMO - US,Direct Drop,EXW,Air,5/3/13,2013-11-28,2014-05-30,2014-05-30,31-May-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,12000,48000.0,4.0,0.13,Mylan (formerly Matrix) Nashik,No,,,59.38,183.0
78846,109-TZ-T30,SCMS-136830,Tanzania,PMO - US,Direct Drop,EXW,Air,1/27/12,2012-02-03,2012-07-13,2012-07-13,13-Jul-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,9250,296000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,3058.0,31491.23,414.99,161.0
78909,133-NG-T30,SCMS-210351,Nigeria,PMO - US,Direct Drop,EXW,Air,8/13/13,2013-11-01,2014-02-18,2014-02-12,15-Mar-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,9258,823962.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,3759.0,57561.38,1019.24,103.0
78946,113-ZW-T30,SCMS-234720,Zimbabwe,PMO - US,Direct Drop,EXW,Air,4/1/14,2014-05-08,2014-06-14,2014-06-14,16-Jun-14,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,24540,114111.0,4.65,0.16,"Aurobindo Unit VII, IN",Yes,2448.0,20407.95,117.31,37.0
78949,100-ZW-T30,SCMS-65360,Zimbabwe,PMO - US,Direct Drop,EXW,Air,2/2/10,2010-02-17,2010-05-18,2010-05-18,18-May-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1915,137880.0,72.0,0.72,Inverness Japan,Yes,967.0,18212.87,297.27,90.0
78985,110-ZM-T30,SCMS-53261,Zambia,PMO - US,Direct Drop,EXW,Air,8/31/09,2009-09-11,2010-01-28,2010-01-27,27-Jan-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2282,164304.0,72.0,0.72,Inverness Japan,Yes,1106.0,16793.45,322.04,138.0
79022,116-ZA-T30,SCMS-215410,South Africa,PMO - US,Direct Drop,DDP,Truck,11/14/13,2013-12-02,2014-01-13,2014-01-13,13-Jan-14,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,152,2218.99,14.6,0.49,"Aurobindo Unit III, India",No,,,2.28,42.0
79064,116-ZA-T30,SCMS-199310,South Africa,PMO - US,Direct Drop,DDP,Truck,7/12/13,2013-08-13,2014-11-19,2014-11-19,19-Nov-14,ARV,Adult,S. BUYS WHOLESALER,"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,82,7657.21,93.38,1.56,"MSD, Haarlem, NL",No,,,9.47,463.0
79081,103-SS-T30,SCMS-213410,South Sudan,PMO - US,Direct Drop,EXW,Air,10/28/13,2013-11-06,2014-02-20,2014-02-20,26-Feb-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,444,14208.0,32.0,1.6,"Trinity Biotech, Plc",Yes,132.0,1847.97,14.61,106.0
79109,110-ZM-T30,SCMS-158520,Zambia,PMO - US,Direct Drop,EXW,Air,8/21/12,2012-09-05,2012-10-31,2012-10-31,31-Oct-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,8200,656000.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,3896.0,69016.63,919.71,56.0
79111,116-ZA-T30,SCMS-50373,South Africa,PMO - US,Direct Drop,DDP,Truck,5/7/09,2009-09-22,2010-02-15,2010-02-15,15-Feb-10,ARV,Adult,"JSI R&T INSTITUTE, INC.","Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,1130,31894.32,28.23,0.47,"Aurobindo Unit III, India",Yes,,,62.51,146.0
79128,114-UG-T30,SCMS-142230,Uganda,PMO - US,Direct Drop,CIP,Air,3/15/12,2012-04-04,2012-05-21,2012-05-21,21-May-12,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,180,9990.0,55.5,0.92,"MSD, Haarlem, NL",No,,,14.01,47.0
79141,102-KE-T30,SCMS-124890,Kenya,PMO - US,Direct Drop,EXW,Air,10/5/11,2011-10-13,2012-02-03,2012-02-03,3-Feb-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,516,16512.0,32.0,1.6,"Trinity Biotech, Plc",Yes,174.0,2061.8,27.24,113.0
79173,108-VN-T30,SCMS-274370,Vietnam,PMO - US,Direct Drop,EXW,Air,1/28/15,2015-02-17,2015-07-13,2015-07-13,14-Jul-15,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,5120,51200.0,10.0,0.33,Hetero Unit III Hyderabad IN,No,,,60.26,146.0
79193,106-HT-T30,SCMS-147120,Haiti,PMO - US,Direct Drop,FCA,Air,4/20/12,2012-06-12,2012-08-08,2012-08-08,8-Aug-12,ARV,Pediatric,SYSMEX AMERICA INC,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,216,1596.24,7.39,0.12,ABBVIE Ludwigshafen Germany,Yes,24.0,4059.85,2.24,57.0
79232,107-RW-T30,SCMS-50270,Rwanda,PMO - US,Direct Drop,CIP,Air,7/16/09,2009-08-31,2010-06-25,2010-06-25,25-Jun-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,72091,789396.45,10.95,0.36,Mylan (formerly Matrix) Nashik,Yes,6842.0,73790.43,1547.22,298.0
79236,108-VN-T30,SCMS-274360,Vietnam,PMO - US,Direct Drop,EXW,Air,1/28/15,2015-02-17,2015-07-30,2015-08-02,3-Aug-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,12816,103809.6,8.1,0.13,Mylan (formerly Matrix) Nashik,Yes,,,122.18,166.0
79271,116-ZA-T30,SCMS-199283,South Africa,PMO - US,Direct Drop,DDP,Truck,7/11/13,2014-08-27,2014-08-27,2014-08-27,27-Aug-14,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,1,9.85,9.85,0.16,Hetero Unit III Hyderabad IN,No,,,0.01,0.0
79283,108-VN-T30,SCMS-251680,Vietnam,PMO - US,Direct Drop,EXW,Air,7/9/14,2014-08-11,2014-12-24,2014-12-24,24-Dec-14,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,15840,166320.0,10.5,0.35,Hetero Unit III Hyderabad IN,No,,,170.98,135.0
79325,104-CI-T30,SCMS-215050,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,10/25/13,2013-12-04,2014-01-24,2014-01-24,30-Jan-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,3135,250800.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1272.0,16856.6,257.82,51.0
79352,108-VN-T30,SCMS-123520,Vietnam,PMO - US,Direct Drop,EXW,Air,9/21/11,2011-10-04,2012-03-01,2012-03-01,1-Mar-12,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,14789,117572.55,7.95,0.13,"Aurobindo Unit III, India",No,,,193.99,149.0
79361,116-ZA-T30,SCMS-199289,South Africa,PMO - US,Direct Drop,DDP,Truck,7/11/13,2014-08-29,2014-08-29,2014-08-29,29-Aug-14,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,75,1952.27,26.03,0.29,"Aurobindo Unit III, India",No,,,2.41,0.0
79375,116-ZA-T30,SCMS-238556,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,2015-04-28,2015-04-28,2015-04-28,28-Apr-15,ARV,Adult,PHARMACY DIRECT,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,19,1310.81,68.99,1.15,"Aurobindo Unit III, India",No,,,1.35,0.0
79424,133-NG-T30,SCMS-289120,Nigeria,PMO - US,Direct Drop,EXW,Air,5/7/15,2015-05-26,2015-08-07,2015-08-07,10-Aug-15,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,,Test kit,20,1564,50048.0,32.0,1.6,Chembio Diagnostics Sys. Inc.,Yes,,,58.91,73.0
79445,102-SD-T30,SCMS-121841,Sudan,PMO - US,Direct Drop,EXW,Air,9/7/11,2011-09-14,2012-01-06,2012-01-06,6-Jan-12,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,,Test kit - Ancillary,100,4,32.0,8.0,0.08,"Alere Medical Co., Ltd.",Yes,,878.34,0.05,114.0
79471,116-ZA-T30,SCMS-215370,South Africa,PMO - US,Direct Drop,DDP,Truck,10/8/13,2013-12-02,2014-02-06,2014-02-06,6-Feb-14,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,344,7955.07,23.13,0.19,ABBVIE Ludwigshafen Germany,No,,,9.84,66.0
79491,106-HT-T30,SCMS-176120,Haiti,PMO - US,Direct Drop,CIP,Air,1/16/13,2013-02-05,2013-05-14,2013-05-14,14-May-13,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,120,6660.0,55.5,0.92,"MSD, Haarlem, NL",Yes,11.0,260.0,8.24,98.0
79500,101-CD-T30,SCMS-280210,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,3/10/15,2015-03-16,2015-07-02,2015-07-02,30-Jul-15,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,353,11296.0,32.0,1.6,"Trinity Biotech, Plc",No,,,13.3,108.0
79521,161-ZA-T30,SCMS-103960,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,2011-03-28,2011-09-06,2011-09-06,6-Sep-11,ARV,Adult,STRIDES ARCOLAB LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,440000,1069200.0,2.43,0.04,"Strides, Bangalore, India.",Yes,19564.0,33865.26,1764.18,162.0
79597,133-NG-T30,SCMS-240830,Nigeria,PMO - US,Direct Drop,EXW,Air,5/16/14,2014-06-02,2014-08-19,2014-09-02,4-Sep-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,5905,525545.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,2402.0,35747.28,540.26,92.0
79618,104-CI-T30,SCMS-173130,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,12/14/12,2013-01-15,2013-04-26,2013-04-26,26-Apr-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2943,235440.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1280.0,23270.25,291.24,101.0
79646,109-TZ-T30,SCMS-175460,Tanzania,PMO - US,Direct Drop,EXW,Air,1/15/13,2013-02-20,2013-04-23,2013-04-23,23-Apr-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,12830,288675.0,22.5,0.75,Mylan (formerly Matrix) Nashik,Yes,1710.0,8344.86,357.09,62.0
79648,106-HT-T30,SCMS-225411,Haiti,PMO - US,Direct Drop,EXW,Air,1/21/14,2014-02-19,2014-05-15,2014-05-15,20-May-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,4000,400000.0,100.0,1.0,"Alere Medical Co., Ltd.",Yes,1623.0,15230.88,411.2,85.0
79679,108-VN-T30,SCMS-236070,Vietnam,PMO - US,Direct Drop,EXW,Air,4/8/14,2014-04-30,2014-11-07,2014-11-07,8-Nov-14,ARV,Adult,MICRO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,8500,14620.0,1.72,0.03,"Micro labs, Verna, Goa, India",No,,,15.03,191.0
79701,109-TZ-T30,SCMS-198780,Tanzania,PMO - US,Direct Drop,EXW,Air,7/3/13,2013-07-16,2013-09-24,2013-09-27,27-Sep-13,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,7255,58983.15,8.13,0.14,"Aurobindo Unit III, India",Yes,917.0,4676.61,72.96,73.0
79710,202-GT-T30,SCMS-96140,Guatemala,PMO - US,Direct Drop,FCA,Air,12/29/10,2011-01-05,2011-03-03,2011-03-03,3-Mar-11,ARV,Adult,Hoffmann-La Roche ltd Basel,"Saquinavir 500mg [Invirase], tablets, 120 Tabs",Saquinavir,Invirase,500mg,Tablet,120,188,44639.99,237.45,1.98,Roche Madrid,Yes,33.0,660.3,73.66,57.0
79747,161-ZA-T30,SCMS-104070,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,2011-03-28,2011-11-02,2011-12-06,6-Dec-11,ARV,Adult,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,50326,136886.72,2.72,0.05,"Cipla, Goa, India",Yes,,,225.86,253.0
79757,108-VN-T30,SCMS-106480,Vietnam,PMO - US,Direct Drop,FCA,Air,3/31/11,2011-04-21,2011-09-22,2011-09-22,22-Sep-11,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,4951,406972.2,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,1232.0,8108.91,671.5,154.0
79778,101-CD-T30,SCMS-253260,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,8/11/14,2014-08-27,2014-11-04,2014-11-04,20-Nov-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,41,1312.0,32.0,1.6,"Trinity Biotech, Plc",No,,,1.35,69.0
79785,116-ZA-T30,SCMS-238551,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,2014-06-25,2014-06-25,2014-06-25,25-Jun-14,ARV,Pediatric,PHARMACY DIRECT,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,20,471.74,23.59,0.26,"Aurobindo Unit III, India",No,,,0.48,0.0
79791,116-ZA-T30,SCMS-259078,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,2014-10-09,2015-07-24,2015-07-24,24-Jul-15,ARV,Adult,PHARMACY DIRECT,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,14,270.58,19.33,0.32,"Aurobindo Unit III, India",No,,,0.28,288.0
79803,133-NG-T30,SCMS-240830,Nigeria,PMO - US,Direct Drop,EXW,Air,5/16/14,2014-06-02,2014-08-19,2014-08-29,4-Sep-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,5903,525367.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,3473.0,35117.35,540.08,88.0
79810,101-CD-T30,SCMS-253260,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,8/11/14,2014-08-27,2014-11-04,2014-11-04,20-Nov-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,34,1088.0,32.0,1.6,"Trinity Biotech, Plc",No,,,1.12,69.0
79837,104-CI-T30,SCMS-206520,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,8/9/13,2013-09-17,2014-01-10,2014-01-10,10-Jan-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,4400,26136.0,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,505.0,5335.6,32.33,115.0
79841,107-RW-T30,SCMS-129510,Rwanda,PMO - US,Direct Drop,CIP,Air,11/30/11,2012-03-09,2012-06-28,2012-06-28,28-Jun-12,ARV,Pediatric,CIPLA LIMITED,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,7420,14469.0,1.95,0.01,"Cipla, Goa, India",No,,,20.29,111.0
79861,102-GY-T30,SCMS-115810,Guyana,PMO - US,Direct Drop,EXW,Air,7/13/11,2011-08-01,2011-08-31,2011-08-31,31-Aug-11,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,4588,146816.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1573.0,26710.2,242.25,30.0
79871,133-NG-T30,SCMS-155301,Nigeria,PMO - US,Direct Drop,EXW,Air,7/17/12,2012-08-10,2012-12-21,2012-12-21,21-Dec-12,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,6042,193344.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1990.0,23396.04,271.07,133.0
79879,104-CI-T30,SCMS-228050,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,1/22/14,2014-02-26,2014-06-24,2014-06-24,25-Jun-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1500,120000.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,606.0,8158.8,123.36,118.0
79885,113-ZW-T30,SCMS-240570,Zimbabwe,PMO - US,Direct Drop,EXW,Air Charter,4/1/14,2014-05-27,2014-09-17,2014-09-17,19-Sep-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,27053,124984.86,4.62,0.15,Hetero Unit III Hyderabad IN,Yes,4598.0,25467.64,128.48,113.0
79890,108-VN-T30,SCMS-131700,Vietnam,PMO - US,Direct Drop,EXW,Air,12/15/11,2012-01-16,2012-05-15,2012-05-15,15-May-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,9679,47911.05,4.95,0.16,Mylan (formerly Matrix) Nashik,No,,,67.17,120.0
79910,116-ZA-T30,SCMS-199283,South Africa,PMO - US,Direct Drop,DDP,Truck,7/11/13,2014-08-27,2014-08-27,2014-08-27,27-Aug-14,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,10,278.26,27.83,0.46,"Aurobindo Unit III, India",No,,,0.34,0.0
79955,111-MZ-T30,SCMS-270120,Mozambique,PMO - US,Direct Drop,CIP,Air,10/28/14,2014-12-19,2015-06-09,2015-06-09,16-Jul-15,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,162,8991.0,55.5,0.92,"MSD, Haarlem, NL",No,,,10.58,172.0
80002,106-HT-T30,SCMS-210420,Haiti,PMO - US,Direct Drop,CIP,Air,8/21/13,2013-10-22,2014-02-12,2014-02-12,14-Feb-14,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,17,943.5,55.5,0.92,"MSD, Haarlem, NL",Yes,,,1.17,113.0
